50 	 # Number of sensors 
# x z 
-1.90 -1.27 
0.00 -0.98 
1.88 -0.69 
3.75 -0.34 
5.82 0.00 
7.72 -0.02 
9.72 -0.10 
11.71 -0.17 
13.78 -0.54 
15.78 -0.47 
17.78 -0.35 
19.77 -0.19 
21.66 -0.34 
23.76 -0.33 
25.74 -0.63 
27.74 -0.71 
29.73 -0.55 
31.56 -1.07 
33.84 -0.75 
35.83 -0.91 
37.93 -0.94 
39.93 -1.01 
41.92 -0.84 
43.82 -0.93 
45.82 -1.05 
47.92 -1.03 
49.97 -1.49 
51.87 -1.49 
53.96 -1.39 
56.36 -1.49 
57.93 -1.19 
59.86 -1.73 
61.96 -1.63 
64.05 -1.84 
66.03 -2.08 
68.13 -2.25 
69.71 -2.45 
71.91 -2.50 
74.20 -2.70 
76.10 -2.67 
78.20 -2.71 
80.29 -2.50 
82.47 -2.79 
84.07 -2.86 
85.77 -2.92 
88.15 -2.57 
90.05 -2.54 
91.92 -2.84 
94.18 -2.39 
96.04 -2.74 
360 	 # Number of measurements 
# a b m n u i err
12 24 16 20 23.46 1.00 0.03
13 25 17 21 25.41 1.00 0.03
14 26 18 22 26.30 1.00 0.03
15 27 19 23 19.19 1.00 0.03
17 29 21 25 2.69 0.10 0.03
18 30 22 26 2.52 0.10 0.03
19 31 23 27 3.64 0.10 0.03
20 32 24 28 2.38 0.10 0.03
21 33 25 29 3.26 0.10 0.03
22 34 26 30 3.13 0.10 0.03
23 35 27 31 2.61 0.10 0.03
25 37 29 33 2.84 0.10 0.03
26 38 30 34 3.14 0.10 0.03
27 39 31 35 3.30 0.10 0.03
29 41 33 37 3.70 0.10 0.03
30 42 34 38 3.64 0.10 0.03
31 43 35 39 3.35 0.10 0.03
32 44 36 40 3.15 0.10 0.03
33 45 37 41 3.63 0.10 0.03
34 46 38 42 3.55 0.10 0.03
35 47 39 43 3.98 0.10 0.03
36 48 40 44 3.77 0.10 0.03
37 49 41 45 3.49 0.10 0.03
38 50 42 46 3.65 0.10 0.03
2 17 7 12 16.06 1.00 0.03
3 18 8 13 17.44 1.00 0.03
4 19 9 14 17.26 1.00 0.03
5 20 10 15 17.61 1.00 0.03
6 21 11 16 18.22 1.00 0.03
7 22 12 17 18.86 1.00 0.03
8 23 13 18 21.07 1.00 0.03
9 24 14 19 19.59 1.00 0.03
10 25 15 20 19.40 1.00 0.03
11 26 16 21 20.15 1.00 0.03
12 27 17 22 20.18 1.00 0.03
14 29 19 24 2.19 0.10 0.03
15 30 20 25 2.56 0.10 0.03
16 31 21 26 2.19 0.10 0.03
17 32 22 27 2.35 0.10 0.03
18 33 23 28 2.43 0.10 0.03
19 34 24 29 2.40 0.10 0.03
20 35 25 30 2.70 0.10 0.03
21 36 26 31 2.47 0.10 0.03
22 37 27 32 2.40 0.10 0.03
23 38 28 33 23.78 0.10 0.03
24 39 29 34 2.67 0.10 0.03
25 40 30 35 2.81 0.10 0.03
26 41 31 36 2.83 0.10 0.03
27 42 32 37 2.99 0.10 0.03
29 44 34 39 3.02 0.10 0.03
30 45 35 40 2.84 0.10 0.03
31 46 36 41 3.21 0.10 0.03
32 47 37 42 3.01 0.10 0.03
33 48 38 43 3.02 0.10 0.03
34 49 39 44 3.07 0.10 0.03
35 50 40 45 3.13 0.10 0.03
2 20 8 14 15.66 1.00 0.03
3 21 9 15 16.13 1.00 0.03
4 22 10 16 15.86 1.00 0.03
5 23 11 17 27.08 1.00 0.03
6 24 12 18 16.08 1.00 0.03
7 25 13 19 16.90 1.00 0.03
8 26 14 20 16.81 1.00 0.03
9 27 15 21 17.60 1.00 0.03
11 29 17 23 13.77 1.00 0.03
12 30 18 24 17.74 1.00 0.03
13 31 19 25 17.96 1.00 0.03
14 32 20 26 19.74 1.00 0.03
15 33 21 27 19.90 1.00 0.03
16 34 22 28 20.38 1.00 0.03
17 35 23 29 24.84 1.00 0.03
18 36 24 30 21.41 1.00 0.03
19 37 25 31 21.76 1.00 0.03
20 38 26 32 19.76 1.00 0.03
21 39 27 33 21.06 1.00 0.03
22 40 28 34 10.19 1.00 0.03
23 41 29 35 22.23 1.00 0.03
24 42 30 36 24.03 1.00 0.03
25 43 31 37 22.98 1.00 0.03
26 44 32 38 26.53 1.00 0.03
27 45 33 39 26.84 1.00 0.03
29 47 35 41 2.67 0.10 0.03
30 48 36 42 2.67 0.10 0.03
31 49 37 43 2.74 0.10 0.03
32 50 38 44 2.41 0.10 0.03
2 23 9 16 2.18 0.10 0.03
3 24 10 17 15.93 1.00 0.03
4 25 11 18 14.91 1.00 0.03
5 26 12 19 15.13 1.00 0.03
6 27 13 20 14.99 1.00 0.03
8 29 15 22 15.86 1.00 0.03
9 30 16 23 12.74 1.00 0.03
10 31 17 24 15.16 1.00 0.03
11 32 18 25 16.53 1.00 0.03
12 33 19 26 16.74 1.00 0.03
13 34 20 27 16.67 1.00 0.03
14 35 21 28 17.73 1.00 0.03
15 36 22 29 16.87 1.00 0.03
16 37 23 30 23.66 1.00 0.03
17 38 24 31 18.49 1.00 0.03
18 39 25 32 16.96 1.00 0.03
19 40 26 33 18.43 1.00 0.03
20 41 27 34 20.11 1.00 0.03
21 42 28 35 7.94 1.00 0.03
22 43 29 36 21.44 1.00 0.03
23 44 30 37 19.19 1.00 0.03
24 45 31 38 22.06 1.00 0.03
25 46 32 39 23.48 1.00 0.03
26 47 33 40 23.67 1.00 0.03
27 48 34 41 22.40 1.00 0.03
29 50 36 43 2.32 0.10 0.03
2 26 10 18 13.89 1.00 0.03
3 27 11 19 14.56 1.00 0.03
5 29 13 21 14.41 1.00 0.03
6 30 14 22 14.48 1.00 0.03
7 31 15 23 12.14 1.00 0.03
8 32 16 24 14.24 1.00 0.03
9 33 17 25 14.17 1.00 0.03
10 34 18 26 14.21 1.00 0.03
11 35 19 27 14.39 1.00 0.03
12 36 20 28 55.44 1.00 0.03
13 37 21 29 14.85 1.00 0.03
14 38 22 30 15.44 1.00 0.03
15 39 23 31 18.08 1.00 0.03
