48 	 # Number of sensors 
# x z 
0.00 0.00 
6.14 -1.80 
11.07 -3.56 
14.38 -5.55 
19.65 -6.44 
24.92 -7.32 
29.15 -7.44 
33.29 -8.13 
38.46 -9.94 
43.43 -12.61 
48.43 -11.31 
53.31 -10.72 
58.13 -11.84 
62.53 -12.56 
67.51 -13.56 
72.15 -14.69 
78.37 -15.63 
83.02 -17.11 
89.01 -19.40 
92.82 -20.07 
97.33 -22.38 
102.55 -22.97 
107.04 -21.50 
112.21 -20.42 
117.62 -21.66 
123.03 -22.90 
126.98 -25.09 
130.82 -24.90 
134.66 -24.70 
139.14 -24.35 
143.62 -23.99 
148.87 -26.20 
153.37 -27.59 
157.83 -28.47 
162.30 -29.36 
168.19 -27.40 
173.10 -28.47 
178.73 -28.85 
183.38 -30.10 
188.38 -30.92 
193.19 -32.74 
199.23 -36.44 
203.78 -37.66 
208.28 -39.83 
212.81 -43.19 
217.74 -46.39 
222.74 -49.58 
227.63 -51.51 
360 	 # Number of measurements 
# a b m n u i rhoa
a	b	m	n	u	i	rhoa
10	31	17	24	255.8	0.374	150282.2
27	48	34	41	59.614	0.134	98190.5
11	35	19	27	18.396	0.029	161603.5
3	30	12	21	16.33	0.019	242075.4
2	35	13	24	25.021	0.391	22114
3	36	14	25	228.544	0.372	212347.1
8	41	19	30	107.765	0.241	154653.5
10	46	22	34	34.92	0.127	103531.2
1	40	14	27	305.753	0.615	203003.6
5	47	19	33	70.086	0.255	120832.1
9	12	10	11	54.086	0.057	29695
41	44	42	43	45.083	0.054	26208.3
23	29	25	27	31.662	0.045	44700.4
31	37	33	35	64.993	0.079	51902.9
32	38	34	36	20.852	0.291	4504.3
2	11	5	8	17.43	0.019	86126.8
8	17	11	14	36.968	0.056	62629
10	19	13	16	187.803	0.217	81581.3
31	40	34	37	20.442	1.45	1329.1
34	43	37	40	-1.307	3.042	-40.5
3	15	7	11	36.949	0.046	100730.3
10	22	14	18	72.832	0.103	89273.8
14	26	18	22	223.861	0.262	107264.3
18	30	22	26	16.12	0.024	84965.4
34	46	38	42	463.801	0.772	75449.4
6	21	11	16	21.505	0.029	118071.5
13	28	18	23	46.539	0.062	117930.6
15	30	20	25	18.422	0.024	121370.2
33	48	38	43	24.497	0.041	93112
12	30	18	24	20.863	0.025	154637
13	31	19	25	42.462	0.062	129119.4
22	40	28	34	44.603	0.072	117545.8
24	42	30	36	10.462	0.72	2738.8
9	30	16	23	16.635	0.021	177045.6
14	35	21	28	234.237	0.348	147982.4
9	33	17	25	34.04	0.049	173626.7
17	41	25	33	32.349	0.064	126296.7
19	43	27	35	22.345	0.405	13855.5
6	33	15	24	16.581	0.021	226890.7
15	42	24	33	12.064	0.025	134126.4
10	40	20	30	47.469	0.1	148926.5
7	40	18	29	37.282	0.068	188507.3
2	38	14	26	18.218	0.366	18787.3
4	43	17	30	426.211	1.44	120875.9
6	48	20	34	52.63	0.463	50046.1
8	11	9	10	18.079	0.016	35732.5
25	28	26	27	34.876	0.045	24618.9
3	9	5	7	55.053	0.057	60451.2
26	32	28	30	24.672	0.025	60954.8
42	48	44	46	1.402	0.623	141.4
39	48	42	45	108.563	0.216	47333.2
12	24	16	20	43.907	0.054	102098.1
11	26	16	21	21.184	0.025	130847.3
26	44	32	38	39.225	0.074	100036.4
19	40	26	33	17.91	0.029	137664.6
15	39	23	31	20.847	0.71	7374.5
22	46	30	38	36.999	0.094	99159.3
5	32	14	23	130.244	0.179	205942.7
14	44	24	34	16.591	0.048	109306.5
18	48	28	38	20.194	0.062	102343.4
4	40	16	28	43.24	0.083	195346
8	44	20	32	21.954	0.072	115711.1
15	18	16	17	33.547	0.024	44204.3
17	20	18	19	457.655	0.424	33878.7
4	10	6	8	41.043	0.06	42695.9
9	15	11	13	31.204	0.046	42535
16	22	18	20	49.69	0.304	10284
7	22	12	17	59.19	0.074	125795.4
17	32	22	27	18.164	0.025	112194.1
18	33	23	28	19.007	0.312	9583.5
20	35	25	30	69.699	0.095	114801.7
28	43	33	38	33.086	0.051	102180.3
22	43	29	36	26.604	0.057	102246.6
3	27	11	19	42.865	0.062	173789.7
11	38	20	29	16.68	0.029	164839.4
12	39	21	30	38.834	0.074	148558.8
14	41	23	32	15.001	0.033	127072.9
12	42	22	32	26.059	0.072	114458.7
4	37	15	26	266.285	0.455	202076.5
5	8	6	7	52.061	0.057	28583.3
19	22	20	21	18.288	0.035	16430.5
38	41	39	40	197.831	0.255	24362.3
39	42	40	41	91.464	0.095	30130
1	7	3	5	57.793	0.067	54394.4
24	30	26	28	18.346	0.021	55785
27	33	29	31	22.345	0.038	36803.8
33	39	35	37	41.215	0.045	58186.8
36	42	38	40	21.877	1.483	926.9
3	12	6	9	40.91	0.056	69307.1
5	14	8	11	38.716	0.045	81988.8
14	23	17	20	30.826	0.038	76160.1
24	33	27	30	32.342	0.035	87170.6
9	21	13	17	53.39	0.064	105526.1
4	19	9	14	16.216	0.022	114466.2
30	48	36	42	17.494	0.032	103729.1
8	29	15	22	469.857	0.632	163541.1
20	41	27	34	146.866	0.257	125431
23	47	31	39	16.794	0.038	110646.9
18	45	27	36	21.62	0.339	18055.8
16	46	26	36	40.031	0.122	103426.2
17	47	27	37	8.254	1.507	1720.9
9	45	21	33	24.926	0.083	113691.8
1	43	15	29	-0.064	0.064	-439.8
2	47	17	32	119.81	0.424	133037.6
18	21	19	20	34.049	0.029	37388.4
22	25	23	24	43.593	0.051	26925.4
29	32	30	31	20.976	0.062	10630.7
31	34	32	33	63.982	0.067	30109.9
34	37	35	36	90.227	0.095	29722.6
19	28	22	25	21.396	0.372	5421.7
20	29	23	26	242.062	0.36	63369.4
3	18	8	13	16.104	0.022	113680.8
5	20	10	15	52.478	0.068	120607.9
16	31	21	26	2.127	0.278	1201
21	36	26	31	35.976	0.056	101581.1
1	19	7	13	26.706	0.038	131962.6
14	32	20	26	16.705	0.021	152391.4
16	34	22	28	148.168	0.222	125959.6
17	38	24	31	39.063	0.067	128679.6
6	30	14	22	89.626	0.112	201019.2
4	31	13	22	47.264	0.06	221254.1
8	35	17	26	21.172	1.168	5124
13	43	23	33	18.764	1.073	5494.3
9	42	20	31	30.341	0.076	137430.9
2	41	15	28	25.641	0.051	205888.2
7	46	20	33	319.342	1.677	77776.2
3	48	18	33	21.915	2.007	5144.4
10	13	11	12	35.893	0.062	18190.6
28	31	29	30	59.598	0.057	32721.4
32	35	33	34	28.251	0.033	26589.8
6	12	8	10	18.104	0.017	65059.5
7	13	9	11	57.302	0.062	58080.8
35	41	37	39	247.021	0.26	59723.7
39	45	41	43	135.904	0.162	52669.7
9	18	12	15	28.712	0.03	89604.8
18	27	21	24	21.601	0.319	6372.3
28	37	31	34	59.157	0.064	86610.2
37	46	40	43	52.338	0.068	72171.9
20	32	24	28	146.346	0.176	104236.3
25	40	30	35	44.522	0.064	108640.9
2	20	8	14	52.495	0.074	133880.5
17	35	23	29	55.862	0.083	126184.3
4	25	11	18	30.384	0.045	150136.7
25	46	32	39	79.403	0.162	107704.9
26	47	33	40	19.328	0.043	99041.6
12	36	20	28	31.268	0.049	159487.5
16	40	24	32	44.486	0.087	127893.7
2	32	12	22	21.582	0.025	266603.4
14	47	25	36	20.242	0.072	97797.8
11	47	23	35	52.118	0.184	107026.3
1	4	2	3	62.075	0.072	27264.8
13	16	14	15	74.851	0.059	39984.8
36	39	37	38	92.817	0.086	33972.8
37	40	38	39	492.793	0.541	28605.4
43	46	44	45	264.411	0.618	13452.1
44	47	45	46	54.751	1.696	1014.2
12	18	14	16	29.532	0.029	64856.4
17	23	19	21	38.748	0.052	46415.6
34	40	36	38	20.27	3.078	413.8
37	43	39	41	280.319	0.484	36391.1
38	47	41	44	354.993	1.582	21155.3
6	18	10	14	15.011	0.017	107888
21	33	25	29	29.866	0.037	102661.8
23	35	27	31	40.07	0.054	93175.9
25	37	29	33	33.706	0.045	95172.3
26	38	30	34	40.395	0.06	84042.6
29	41	33	37	131.03	0.176	93327.4
32	44	36	40	20.928	0.315	8356.6
24	39	29	34	21.277	1.273	2625.1
32	47	37	42	144.754	0.25	90827.9
18	36	24	30	19.22	0.029	126627.1
19	37	25	31	21.315	0.033	120367.9
19	46	28	37	21.462	0.389	15615.1
7	37	17	27	33.964	0.057	186471
8	38	18	28	38.726	0.064	191354.4
5	38	16	27	41.186	0.072	198989.9
11	44	22	33	21.41	0.305	24244.3
15	48	26	37	19.023	0.062	106047.3
1	46	16	31	121.594	0.384	149274.4
7	10	8	9	56.21	0.068	25837
12	15	13	14	35.102	0.04	27751.6
2	8	4	6	75.259	0.064	73457.4
11	17	13	15	19.801	0.019	65229.9
28	34	30	32	42.222	0.065	40708.9
30	36	32	34	26.703	0.025	65973.4
38	44	40	42	551.759	0.679	51020.3
40	46	42	44	327.287	0.539	38164.5
23	32	26	29	20.978	0.024	82925.5
27	36	30	33	45.819	0.064	67083.5
21	39	27	33	61.45	0.093	124571.4
25	43	31	37	21.92	0.777	5316
2	23	9	16	41.444	0.051	179186.6
15	36	22	29	29.643	0.046	141425.8
21	42	28	35	21.865	2.011	2391.4
24	45	31	38	239.935	0.505	104391.6
16	43	25	34	27.056	0.074	103502.3
15	45	25	35	16.995	0.049	108354.6
9	48	22	35	20.385	1.695	4911.2
2	44	16	30	33.15	0.091	160928.9
4	46	18	32	197.835	0.648	134175.1
4	7	5	6	61.528	0.049	39229.4
21	24	22	23	20.828	1.664	393.2
33	36	34	35	144.744	0.136	33460.7
18	24	20	22	21.089	0.024	55576.9
25	31	27	29	48.24	0.045	68105.3
17	26	20	23	318.781	0.446	67387.7
29	38	32	35	21.792	1.135	1809.7
7	19	11	15	17.386	0.021	105731.5
13	25	17	21	32.015	0.045	90397.1
19	31	23	27	16.158	0.019	106458.1
9	24	14	19	46.632	0.057	128011.2
8	26	14	20	470.577	0.579	153103.4
11	29	17	23	74.473	0.103	136926.7
20	38	26	32	51.684	0.086	113505.7
11	32	18	25	16.867	0.021	179515.4
2	29	11	20	41.825	0.057	206669.7
13	40	22	31	34.459	0.073	133258.2
9	39	19	29	38.395	0.073	164974.6
6	39	17	28	20.336	0.033	210537.6
12	45	23	34	19.252	0.064	104640.2
8	47	21	34	60.218	0.208	118113.8
11	14	12	13	18.495	0.016	36555.6
29	35	31	33	81.473	0.083	61345.4
1	13	5	9	55.256	0.074	93947.8
2	14	6	10	36.583	0.046	99733.7
35	47	39	43	31.153	0.051	76969
10	25	15	20	270.405	0.346	122864.4
31	46	36	41	21.067	1.95	1696.8
4	22	10	16	42.009	0.057	138387.1
28	46	34	40	36.844	0.065	106568.9
1	22	8	15	63.693	0.092	151936.1
18	39	25	32	20.081	0.035	126289.2
11	41	21	31	20.965	0.043	153472.6
