U0(mV)	U90(mV)	I(mA)	errorU0(%)	errorU90(%)	TxV(V)	
92.83896	8.96343	0.001	1.5	17	2	
77.3393	12.74806	0.001	0.6	29	2	
86.00797	9.70662	0.001	0.2	0	3	
99.093	9.7661	0.001	0.2	12	5	
95.43857	8.10764	0.001	0.1	14	3	
89.70303	7.9115	0.001	0.8	4	3	
90.64865	8.11419	0.001	0.5	0	3	
45.06529	8.55534	0.001	0.4	9	2	
48.36813	8.3873	0.001	1.5	6	6	
46.84844	6.65847	0.001	1.7	9	3	
53.23088	9.41741	0.001	0.3	0	2	
50.44411	9.40685	0.001	4.2	25	2	
50.39681	7.71429	0.001	1.9	12	2	
47.20252	8.15926	0.001	0	1	2	
46.95021	7.48508	0.001	0.2	5	2	
48.24332	8.08262	0.001	0.6	5	2	
52.74621	9.44271	0.001	1.1	7	3	
49.494	8.22162	0.001	0.4	6	6	
22.71504	5.42392	0.001	1.2	3	2	
26.66164	6.39883	0.001	1.4	9	3	
28.68072	5.94923	0.001	0.9	32	2	
26.60491	4.45949	0.001	4.1	22	2	
28.55681	5.79871	0.001	3	15	2	
27.17957	4.80036	0.001	2.8	24	2	
27.27055	7.71924	0.001	10.4	42	2	
27.35713	4.57059	0.001	0	6	3	
15.14849	1.75246	0.001	9.2	96	2	
16.29179	3.4961	0.001	7.8	40	2	
15.59771	1.60414	0.001	1.7	36	3	
16.5609	3.47643	0.001	1.9	22	2	
17.73407	4.17375	0.001	6.3	34	3	
94.86557	14.37163	0.01	0.2	1	2	
104.41049	7.6682	0.01	1.5	14	32	
14.10.2019	18:00:00					
5.01						
13.69						
116.61054	7.71252	0.001	0.6	6	11	
135.63589	4.64066	0.001	0	7	1	
111.97984	5.3657	0.001	0.5	15	1	
119.64125	5.63304	0.001	0	1	1	
116.85897	5.25688	0.001	0.2	0	1	
151.86743	7.69857	0.001	0.2	6	1	
107.35322	5.07248	0.001	0.3	2	2	
154.98277	6.13241	0.001	0.1	11	4	
131.28146	3.47705	0.001	0.9	30	2	
140.86445	6.84207	0.001	1.8	37	2	
139.70452	8.4864	0.001	0.8	15	4	
160.76104	8.7283	0.001	0.1	0	2	
162.14675	8.51197	0.001	0	5	2	
166.70216	8.61019	0.001	0.1	2	2	
162.48001	7.12324	0.001	0.8	8	2	
160.35568	6.67586	0.001	0	13	3	
165.67774	7.65945	0.001	0.2	9	3	
72.08944	6.28144	0.001	1.5	15	1	
62.02023	4.13488	0.001	1.4	0	2	
69.83093	5.53621	0.001	0.4	5	2	
77.42222	4.9957	0.001	0.8	0	1	
70.15004	5.08256	0.001	0.6	3	4	
67.82628	3.99997	0.001	1.4	12	2	
79.88615	9.19034	0.001	1.9	19	2	
73.78705	5.10042	0.001	0.7	3	2	
68.93997	7.16711	0.001	2	24	2	
79.41726	8.34781	0.001	0.1	0	2	
88.55094	8.4037	0.001	0.5	3	3	
88.73258	9.87384	0.001	0.3	2	2	
84.22859	9.30507	0.001	0.1	2	3	
84.80395	8.64858	0.001	0.3	2	3	
35.55074	5.36128	0.001	0.6	2	2	
