U0(mV)	U90(mV)	I(mA)	errorU0(%)	errorU90(%)	TxV(V)	
06.02.2019	18:00:00 ! data and time
7.52 ! temperature c
13.69 ! External battery voltage V
244.22453	1.78375	0.1	0	0	5	
244.20567	1.68599	0.1	0	0	5	
234.82139	1.524	0.1	0	2	5	
249.32577	1.53397	0.1	0	0	5	
267.01678	1.57629	0.1	0	0	5	
276.78558	1.64208	0.1	0	0	5	
254.44062	1.50222	0.1	0	0	5	
255.09068	1.5192	0.1	0	1	6	
263.28872	1.53842	0.1	0	0	6	
277.36727	1.61915	0.1	0	0	6	
280.43572	1.61761	0.1	0	2	6	
163.4667	1.38212	0.1	0	0	5	
176.46699	1.3709	0.1	0	0	5	
179.66835	1.29649	0.1	0	0	5	
179.48153	1.25852	0.1	0	0	6	
192.99008	1.3372	0.1	0	0	6	
184.95776	1.2625	0.1	0	0	6	
187.85946	1.29476	0.1	0	0	6	
187.92768	1.29632	0.1	0	0	6	
123.55021	1.14494	0.1	0	0	6	
126.92851	1.09949	0.1	0	0	6	
130.83695	1.06963	0.1	0	2	6	
133.82334	1.09947	0.1	0	1	6	
130.34652	1.01531	0.1	0	1	6	
90.04946	0.90723	0.1	0	0	6	
93.0755	0.89301	0.1	0	0	6	
07.02.2019	12:00:00					
1.97						
13.75						
530.46728	2.52097	0.1	0	3	5	
542.25561	2.58879	0.1	0	1	6	
597.91821	2.86934	0.1	0	0	6	
581.5794	2.83133	0.1	0	0	6	
580.00671	2.67032	0.1	0	0	6	
592.17028	2.72499	0.1	0	2	6	
516.97436	2.24069	0.1	0	0	5	
676.95184	3.04007	0.1	0	5	6	
559.20892	2.30657	0.1	0	1	6	
542.45697	2.3907	0.1	0	0	6	
577.41894	2.59999	0.1	0	0	6	
544.99707	2.41518	0.1	0	1	6	
570.10528	2.50543	0.1	0	2	6	
577.36199	2.69495	0.1	0	0	6	
554.17181	2.58759	0.1	0	1	6	
601.35906	2.88974	0.1	0	1	7	
645.07153	3.16691	0.1	0	0	8	
359.9533	2.09694	0.1	0	0	6	
408.11129	2.35362	0.1	0	0	6	
418.51101	2.37442	0.1	0	0	6	
355.3157	1.95689	0.1	0	0	6	
350.50823	1.85677	0.1	0	0	6	
407.79537	2.14946	0.1	0	1	6	
439.32781	2.17991	0.1	0	0	6	
370.38558	1.8814	0.1	0	0	6	
363.98922	1.92492	0.1	0	1	6	
390.2051	2.02167	0.1	0	0	6	
411.82562	2.05353	0.1	0	1	7	
415.39758	2.09535	0.1	0	0	7	
406.43859	2.19924	0.1	0	2	7	
410.45239	2.16527	0.1	0	0	7	
252.42988	1.88666	0.1	0	0	6	
251.98092	1.70863	0.1	0	0	6	
243.07702	1.58371	0.1	0	0	6	
260.17828	1.77538	0.1	0	3	6	
280.48446	1.71984	0.1	0	2	6	
290.74188	1.69591	0.1	0	0	6	
263.82562	1.42777	0.1	0	8	6	
263.4906	1.66788	0.1	0	0	7	
271.77905	1.55946	0.1	0	3	7	
289.50027	1.72815	0.1	0	2	7	
293.23684	1.828	0.1	0	5	8	
166.32229	1.33113	0.1	0	4	6	
181.01843	1.49935	0.1	0	1	6	
184.53302	1.35761	0.1	0	1	6	
184.62797	1.49407	0.1	0	2	7	
197.69387	1.2753	0.1	0	2	7	
187.80862	1.32245	0.1	0	1	7	
190.98194	1.31695	0.1	0	0	7	
191.0474	1.23575	0.1	0	3	7	
124.70511	1.07029	0.1	0	7	6	
127.83007	1.0579	0.1	0	7	7	
131.55105	1.10832	0.1	0	4	7	
134.78858	1.24727	0.1	0	0	7	
130.21224	1.04723	0.1	0	2	7	
89.29333	0.84809	0.1	0	4	7	
92.07314	0.89192	0.1	0	8	7	
07.02.2019	18:00:00					
8.44						
13.72						
503.50491	2.35991	0.1	0	0	5	
518.66223	2.43726	0.1	0	0	5	
572.91955	2.72472	0.1	0	0	5	
548.32031	2.61746	0.1	0	0	5	
557.44818	2.58574	0.1	0	0	5	
554.61004	2.57411	0.1	0	0	5	
508.73791	2.14089	0.1	0	0	5	
636.43627	2.92218	0.1	0	0	6	
550.36499	2.25258	0.1	0	1	6	
524.97204	2.3962	0.1	0	1	5	
562.5061	2.57722	0.1	0	0	6	
522.56982	2.3903	0.1	0	0	5	
555.77716	2.55872	0.1	0	1	6	
555.80303	2.67977	0.1	0	1	6	
539.1784	2.61168	0.1	0	0	5	
583.09503	2.77644	0.1	0	0	6	
615.93011	3.02439	0.1	0	2	7	
350.82534	2.02591	0.1	0	0	5	
395.53988	2.2436	0.1	0	0	5	
402.06692	2.21778	0.1	0	1	6	
346.64797	1.83754	0.1	0	0	5	
343.34869	1.75797	0.1	0	2	6	
395.90826	2.08196	0.1	0	1	6	
425.27581	2.17026	0.1	0	1	6	
365.81072	1.86532	0.1	0	0	6	
358.85821	1.94412	0.1	0	0	5	
379.2817	1.99193	0.1	0	0	6	
399.56622	1.98491	0.1	0	0	7	
405.20214	2.02304	0.1	0	0	6	
398.13366	2.1682	0.1	0	0	7	
400.51715	2.16209	0.1	0	1	7	
249.89526	1.83159	0.1	0	0	5	
246.59927	1.75166	0.1	0	0	6	
239.18962	1.54471	0.1	0	1	6	
253.70901	1.58566	0.1	0	0	6	
275.70336	1.65473	0.1	0	0	6	
283.48492	1.70271	0.1	0	0	6	
261.20379	1.58688	0.1	0	1	6	
257.20162	1.57126	0.1	0	0	6	
266.44406	1.55843	0.1	0	0	6	
282.79431	1.65348	0.1	0	0	6	
287.93893	1.69373	0.1	0	0	7	
164.89823	1.39139	0.1	0	0	6	
179.03192	1.389	0.1	0	0	6	
181.8531	1.29468	0.1	0	3	6	
182.1226	1.32548	0.1	0	1	6	
194.43142	1.36608	0.1	0	0	7	
185.05349	1.27891	0.1	0	0	6	
188.0243	1.28952	0.1	0	1	6	
187.79547	1.26562	0.1	0	2	7	
124.3646	1.15313	0.1	0	0	6	
127.0497	1.07113	0.1	0	0	6	
130.61453	1.09108	0.1	0	0	6	
132.94459	1.08107	0.1	0	0	6	
129.61671	1.03038	0.1	0	0	7	
89.47875	0.88564	0.1	0	0	6	
92.1513	0.89516	0.1	0	0	7	
08.02.2019	0:00:00					
3.21						
13.39						
520.48632	2.52361	0.1	0	0	5	
538.33233	2.56931	0.1	0	0	6	
588.13476	2.81754	0.1	0	0	6	
572.41033	2.80604	0.1	0	0	5	
573.05395	2.67622	0.1	0	0	6	
582.22595	2.75413	0.1	0	1	6	
511.21487	2.16148	0.1	0	0	5	
658.83392	3.11342	0.1	0	0	6	
553.34362	2.24687	0.1	0	0	6	
533.26983	2.36067	0.1	0	0	6	
572.36236	2.57624	0.1	0	0	6	
540.05999	2.4397	0.1	0	0	6	
566.48492	2.63989	0.1	0	0	6	
575.41625	2.85818	0.1	0	0	6	
555.62921	2.73834	0.1	0	0	6	
590.37933	2.86755	0.1	0	1	7	
640.70172	3.23033	0.1	0	1	8	
359.87387	2.11947	0.1	0	0	5	
403.82232	2.33576	0.1	0	1	6	
414.35775	2.34019	0.1	0	1	6	
355.32763	1.92535	0.1	0	0	6	
349.38647	1.84098	0.1	0	0	6	
402.80838	2.08736	0.1	0	0	6	
433.51049	2.1767	0.1	0	0	6	
368.80569	1.84351	0.1	0	0	6	
363.78533	1.94083	0.1	0	0	6	
387.53778	1.99556	0.1	0	0	6	
406.76068	1.99117	0.1	0	0	7	
414.41494	2.07765	0.1	0	0	6	
409.19442	2.22121	0.1	0	0	7	
407.99755	2.2323	0.1	0	0	7	
252.79858	1.87333	0.1	0	0	6	
251.92135	1.79328	0.1	0	0	6	
243.17646	1.6114	0.1	0	0	6	
258.31558	1.62781	0.1	0	0	6	
277.45965	1.65787	0.1	0	0	6	
287.93872	1.72993	0.1	0	0	6	
263.02844	1.60356	0.1	0	0	6	
261.79699	1.64737	0.1	0	0	7	
271.33294	1.63763	0.1	0	0	6	
288.86828	1.73397	0.1	0	0	7	
293.28704	1.79971	0.1	0	1	8	
166.94053	1.45195	0.1	0	0	6	
180.59814	1.45288	0.1	0	0	6	
183.29209	1.37671	0.1	0	0	6	
182.93481	1.32413	0.1	0	0	6	
195.88603	1.37854	0.1	0	0	7	
186.93647	1.3061	0.1	0	0	6	
190.79206	1.33991	0.1	0	0	7	
191.50195	1.3341	0.1	0	0	7	
124.54616	1.17538	0.1	0	0	6	
127.06401	1.10164	0.1	0	0	7	
130.85459	1.08318	0.1	0	0	6	
134.09442	1.1103	0.1	0	0	7	
129.90415	1.04779	0.1	0	0	7	
89.41104	0.92387	0.1	0	0	7	
91.86316	0.89546	0.1	0	0	7	
08.02.2019	6:00:00					
2.94						
12.94						
538.86975	2.5783	0.1	0	0	6	
555.81365	2.67321	0.1	0	0	6	
611.21868	2.93689	0.1	0	0	6	
591.55657	2.93186	0.1	0	1	6	
597.54815	2.84155	0.1	0	0	6	
606.85473	2.89242	0.1	0	0	6	
532.78942	2.27517	0.1	0	0	6	
691.67553	3.24164	0.1	0	0	6	
575.76269	2.30861	0.1	0	0	6	
557.26501	2.47845	0.1	0	0	6	
594.38568	2.71059	0.1	0	0	6	
561.92364	2.58725	0.1	0	0	6	
589.13818	2.72785	0.1	0	1	7	
598.70062	2.94701	0.1	0	0	7	
576.27227	2.81197	0.1	0	0	6	
614.85418	2.95486	0.1	0	0	7	
663.29107	3.3417	0.1	0	0	8	
368.94671	2.18142	0.1	0	0	6	
414.52572	2.45285	0.1	0	0	6	
426.06994	2.47911	0.1	0	1	6	
364.14791	2.03564	0.1	0	1	6	
358.60498	1.9421	0.1	0	0	7	
415.74093	2.21685	0.1	0	1	6	
448.39221	2.31958	0.1	0	0	6	
379.86062	1.9608	0.1	0	1	6	
373.73083	2.04413	0.1	0	0	6	
398.49697	2.11508	0.1	0	1	7	
418.889	2.11317	0.1	0	0	7	
